userid,version,sum_gamerounds,retention_1,retention_7
116,gate_30,3,False,False
337,gate_30,38,True,False
377,gate_40,165,True,False
483,gate_40,1,False,False
488,gate_40,179,True,True
540,gate_40,187,True,True
1066,gate_30,0,False,False
1444,gate_40,2,False,False
1574,gate_40,108,True,True
1587,gate_40,153,True,False
1842,gate_40,3,False,True
2101,gate_30,0,False,False
2132,gate_40,30,True,False
2179,gate_30,39,True,False
2218,gate_30,305,True,True
2382,gate_30,73,True,False
2392,gate_30,14,True,False
2451,gate_30,204,True,True
2482,gate_30,108,True,True
2502,gate_40,1,False,False
2530,gate_40,9,True,False
2534,gate_30,5,True,False
2695,gate_40,45,True,False
2729,gate_30,105,False,True
2829,gate_30,4,False,False
2963,gate_30,3,False,False
3095,gate_30,0,False,False
3132,gate_40,80,True,True
3186,gate_40,4,False,False
3199,gate_30,5,False,False
3204,gate_40,53,True,True
3413,gate_30,37,True,False
3690,gate_30,13,True,False
3696,gate_30,50,False,False
3993,gate_40,202,True,True
4076,gate_40,0,False,False
4162,gate_30,23,False,False
4176,gate_30,0,False,False
4283,gate_30,103,False,False
4594,gate_30,27,False,False
4653,gate_40,15,False,False
4881,gate_30,0,False,False
4902,gate_40,1,False,False
4916,gate_40,49,True,False
4918,gate_30,7,False,False
4929,gate_30,386,True,True
4945,gate_40,25,True,False
5066,gate_30,1,False,False
5215,gate_30,13,True,False
5286,gate_30,12,True,False
5345,gate_40,6,False,False
5479,gate_30,25,True,False
5550,gate_30,29,True,False
5661,gate_30,136,True,False
5712,gate_30,105,True,True
5920,gate_40,10,True,False
5943,gate_40,76,False,False
6099,gate_40,138,False,False
6123,gate_30,0,False,False
6151,gate_30,94,True,True
6156,gate_40,1,False,False
6492,gate_30,0,False,False
6664,gate_40,26,True,False
6695,gate_40,127,True,False
6833,gate_40,6,False,False
6842,gate_40,4,False,False
6924,gate_30,21,False,False
6930,gate_40,297,True,True
7124,gate_40,108,True,True
7253,gate_30,45,True,False
7321,gate_40,33,False,False
7509,gate_40,0,False,False
7527,gate_30,80,False,False
7564,gate_30,21,False,False
7582,gate_40,3,False,False
7767,gate_30,139,True,True
7866,gate_30,14,False,False
8063,gate_30,50,True,False
8254,gate_40,14,False,False
8256,gate_40,14,False,False
8288,gate_30,9,False,False
8317,gate_40,3,False,False
8379,gate_30,0,False,False
8464,gate_30,10,False,False
8465,gate_40,4,False,False
8494,gate_30,5,True,False
8644,gate_30,2,False,False
8679,gate_30,0,False,False
8692,gate_30,3,True,False
8753,gate_40,10,True,False
8788,gate_30,19,False,True
8801,gate_40,0,False,False
8885,gate_40,5,False,False
9001,gate_40,16,True,False
9308,gate_40,95,True,False
9443,gate_40,3,False,False
9589,gate_30,8,False,False
9699,gate_40,8,False,False
9828,gate_40,1,False,False
9831,gate_40,3,False,False
9849,gate_40,1,False,False
10112,gate_30,6,False,False
10200,gate_40,106,False,True
10218,gate_30,22,True,False
10276,gate_40,1,False,False
10336,gate_30,11,False,False
